timestamp,scintillator,rate_per_min,total_hits
2026-06-10T20:40:00+00:00,Scintillator 1,1389.9,287015
2026-06-10T20:40:00+00:00,Scintillator 2,1303.5,269521
2026-06-10T20:40:00+00:00,Scintillator 3,1269.9,262692
2026-06-10T20:40:00+00:00,Scintillator 4,1130.1,234078
2026-06-10T20:50:00+00:00,Scintillator 1,1408.0,301095
2026-06-10T20:50:00+00:00,Scintillator 2,1315.3,282674
2026-06-10T20:50:00+00:00,Scintillator 3,1284.7,275539
2026-06-10T20:50:00+00:00,Scintillator 4,1144.1,245519
2026-06-10T21:00:00+00:00,Scintillator 1,1381.8,314913
2026-06-10T21:00:00+00:00,Scintillator 2,1300.1,295675
2026-06-10T21:00:00+00:00,Scintillator 3,1269.8,288237
2026-06-10T21:00:00+00:00,Scintillator 4,1139.4,256913
2026-06-10T21:10:00+00:00,Scintillator 1,1389.0,328803
2026-06-10T21:10:00+00:00,Scintillator 2,1310.4,308779
2026-06-10T21:10:00+00:00,Scintillator 3,1278.7,301024
2026-06-10T21:10:00+00:00,Scintillator 4,1160.1,268514
2026-06-10T21:20:00+00:00,Scintillator 1,1373.7,342540
2026-06-10T21:20:00+00:00,Scintillator 2,1293.3,321712
2026-06-10T21:20:00+00:00,Scintillator 3,1264.9,313673
2026-06-10T21:20:00+00:00,Scintillator 4,1128.3,279797
2026-06-10T21:30:00+00:00,Scintillator 1,1391.5,356455
2026-06-10T21:30:00+00:00,Scintillator 2,1303.9,334751
2026-06-10T21:30:00+00:00,Scintillator 3,1267.2,326345
2026-06-10T21:30:00+00:00,Scintillator 4,1131.8,291115
2026-06-10T21:40:00+00:00,Scintillator 1,1379.4,370249
2026-06-10T21:40:00+00:00,Scintillator 2,1294.7,347698
2026-06-10T21:40:00+00:00,Scintillator 3,1264.3,338988
2026-06-10T21:40:00+00:00,Scintillator 4,1130.9,302424
2026-06-10T21:50:00+00:00,Scintillator 1,1388.8,384137
2026-06-10T21:50:00+00:00,Scintillator 2,1311.4,360812
2026-06-10T21:50:00+00:00,Scintillator 3,1277.8,351766
2026-06-10T21:50:00+00:00,Scintillator 4,1149.2,313916
2026-06-10T22:00:00+00:00,Scintillator 1,1387.4,398011
2026-06-10T22:00:00+00:00,Scintillator 2,1313.0,373942
2026-06-10T22:00:00+00:00,Scintillator 3,1284.8,364614
2026-06-10T22:00:00+00:00,Scintillator 4,1152.6,325442
2026-06-10T22:10:00+00:00,Scintillator 1,1403.3,412044
2026-06-10T22:10:00+00:00,Scintillator 2,1307.7,387019
2026-06-10T22:10:00+00:00,Scintillator 3,1284.0,377454
