timestamp,multiplicity,observed_count,rate_per_min,random_expected_count
2026-06-10T22:00:00+00:00,2,7128,712.8,1.64734162
2026-06-10T22:00:00+00:00,3,5114,511.4,2.344e-05
2026-06-10T22:00:00+00:00,4,3285,328.5,0.0
2026-06-10T22:10:00+00:00,2,7192,719.2,1.65556914
2026-06-10T22:10:00+00:00,3,5270,527.0,2.361e-05
2026-06-10T22:10:00+00:00,4,3212,321.2,0.0
2026-06-10T22:20:00+00:00,2,7190,719.0,1.64296066
2026-06-10T22:20:00+00:00,3,5247,524.7,2.333e-05
2026-06-10T22:20:00+00:00,4,3163,316.3,0.0
2026-06-10T22:30:00+00:00,2,7077,707.7,1.64759752
2026-06-10T22:30:00+00:00,3,5211,521.1,2.344e-05
2026-06-10T22:30:00+00:00,4,3252,325.2,0.0
2026-06-10T22:40:00+00:00,2,7253,725.3,1.64258329
2026-06-10T22:40:00+00:00,3,5198,519.8,2.333e-05
2026-06-10T22:40:00+00:00,4,3190,319.0,0.0
2026-06-10T22:50:00+00:00,2,7066,706.6,1.60355843
2026-06-10T22:50:00+00:00,3,5084,508.4,2.25e-05
2026-06-10T22:50:00+00:00,4,3225,322.5,0.0
2026-06-10T23:00:00+00:00,2,7598,759.8,1.7146475
2026-06-10T23:00:00+00:00,3,5129,512.9,2.489e-05
2026-06-10T23:00:00+00:00,4,3269,326.9,0.0
2026-06-10T23:10:00+00:00,2,6921,692.1,1.56450906
2026-06-10T23:10:00+00:00,3,5056,505.6,2.169e-05
2026-06-10T23:10:00+00:00,4,3185,318.5,0.0
2026-06-10T23:20:00+00:00,2,7210,721.0,1.6522141
2026-06-10T23:20:00+00:00,3,5150,515.0,2.354e-05
2026-06-10T23:20:00+00:00,4,3265,326.5,0.0
2026-06-10T23:30:00+00:00,2,7225,722.5,1.6612005
2026-06-10T23:30:00+00:00,3,5130,513.0,2.373e-05
2026-06-10T23:30:00+00:00,4,3288,328.8,0.0
2026-06-10T23:40:00+00:00,2,7148,714.8,1.71277767
2026-06-10T23:40:00+00:00,3,5304,530.4,2.484e-05
2026-06-10T23:40:00+00:00,4,3379,337.9,0.0
2026-06-10T23:50:00+00:00,2,6883,688.3,1.58283287
2026-06-10T23:50:00+00:00,3,5071,507.1,2.207e-05
2026-06-10T23:50:00+00:00,4,3238,323.8,0.0
2026-06-11T00:00:00+00:00,2,6967,696.7,1.57152572
2026-06-11T00:00:00+00:00,3,5009,500.9,2.184e-05
2026-06-11T00:00:00+00:00,4,3224,322.4,0.0
2026-06-11T00:10:00+00:00,2,7131,713.1,1.62204644
2026-06-11T00:10:00+00:00,3,5132,513.2,2.29e-05
2026-06-11T00:10:00+00:00,4,3224,322.4,0.0
2026-06-11T00:20:00+00:00,2,7108,710.8,1.63537268
2026-06-11T00:20:00+00:00,3,5141,514.1,2.318e-05
2026-06-11T00:20:00+00:00,4,3277,327.7,0.0
2026-06-11T00:30:00+00:00,2,6931,693.1,1.52359721
2026-06-11T00:30:00+00:00,3,4995,499.5,2.084e-05
2026-06-11T00:30:00+00:00,4,3126,312.6,0.0
2026-06-11T00:40:00+00:00,2,7015,701.5,1.61255514
2026-06-11T00:40:00+00:00,3,5255,525.5,2.269e-05
2026-06-11T00:40:00+00:00,4,3137,313.7,0.0
2026-06-11T00:50:00+00:00,2,7270,727.0,1.67215581
2026-06-11T00:50:00+00:00,3,5232,523.2,2.396e-05
2026-06-11T00:50:00+00:00,4,3246,324.6,0.0
2026-06-11T01:00:00+00:00,2,6902,690.2,1.59513013
2026-06-11T01:00:00+00:00,3,5214,521.4,2.233e-05
2026-06-11T01:00:00+00:00,4,3197,319.7,0.0
2026-06-11T01:10:00+00:00,2,7080,708.0,1.63691192
2026-06-11T01:10:00+00:00,3,5223,522.3,2.321e-05
2026-06-11T01:10:00+00:00,4,3209,320.9,0.0
